ACRES_AG_1MI,ANIMAL_COUNT,COUNTYNAME,Lagoon,Operation,APP_RATE,Regulate_1,SOURCE,Status,WASTE_OUTPUT,X,Y,geometry
785,8621,Greene,1,Sandy Ridge Farm,8522,Swine - Wean to Finish,NC Dept. of Environmental Quality,Active,6689896,-77.4992,35.4731,POINT (-77.4992 35.4731)
775,12050,Pitt,3,Rex Smith Farms Inc,14413,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,11170350,-77.4959,35.4858,POINT (-77.49590000000001 35.4858)
375,6080,Johnston,1,C&S Johnson,3097,Swine - Wean to Feeder,NC Dept. of Environmental Quality,Active,1161280,-78.5161,35.4394,POINT (-78.51609999999999 35.4394)
913,2880,Johnston,1,Danny Kornegay Farm,2924,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,2669760,-78.1667,35.4267,POINT (-78.16670000000001 35.4267)
1036,1121,Wayne,2,1900 Bridgers Place,1003,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,1039167,-78.1183,35.4514,POINT (-78.1183 35.4514)
635,1440,Wayne,1,L. Greg Smith Jr,2102,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,1334880,-78.0819,35.4483,POINT (-78.0819 35.4483)
1494,5900,Greene,1,Triple S Swine Farm,3661,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,5469300,-77.8153,35.4364,POINT (-77.81529999999999 35.4364)
1214,1500,Greene,1,Cross Creek Farm,1145,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,1390500,-77.8169,35.4569,POINT (-77.8169 35.4569)
1179,2169,Greene,1,Sandhill Sow Farm,5893,Swine - Farrow to Wean,NC Dept. of Environmental Quality,Active,6947307,-77.7481,35.4367,POINT (-77.74809999999999 35.4367)
1079,5000,Greene,1,M & M Swine Farm,4296,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,4635000,-77.7289,35.4408,POINT (-77.7289 35.4408)
926,3670,Greene,1,"Harper Brothers 1, 2, 3",3674,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,3402090,-77.7131,35.4372,POINT (-77.7131 35.4372)
340,1600,Greene,1,Earl Barrow Farm,4362,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,1483200,-77.6542,35.4425,POINT (-77.6542 35.4425)
1638,3000,Greene,1,Jimmy Dail Farm,1698,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,2781000,-77.5806,35.4533,POINT (-77.5806 35.4533)
1189,10055,Greene,5,Dirt Road Farm,6562,Swine - Wean to Finish,NC Dept. of Environmental Quality,Active,7802680,-77.5306,35.4411,POINT (-77.53060000000001 35.4411)
1249,3840,Greene,1,Wood Lyon,2850,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,3559680,-77.5236,35.4556,POINT (-77.5236 35.4556)
1240,4160,Greene,1,Triple M Farms 3,641,Swine - Wean to Feeder,NC Dept. of Environmental Quality,Active,794560,-77.5067,35.4425,POINT (-77.5067 35.4425)
838,5747,Greene,1,Edward's Bridge Farm,5322,Swine - Wean to Finish,NC Dept. of Environmental Quality,Active,4459672,-77.4831,35.4386,POINT (-77.48309999999999 35.4386)
390,6080,Harnett,2,Ferrell Farms,2978,Swine - Wean to Feeder,NC Dept. of Environmental Quality,Active,1161280,-78.6404,35.4153,POINT (-78.6404 35.4153)
1102,4410,Johnston,1,Mark & Pam Denning Farm 1-6,3710,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Expired,4088070,-78.5955,35.4167,POINT (-78.5955 35.4167)
852,1094,Johnston,1,Parker's Swine Farm,1190,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,1014138,-78.5511,35.4153,POINT (-78.55110000000001 35.4153)
823,1836,Wayne,1,Danny Mitchell Hog Farm,2068,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,1701972,-78.1222,35.4222,POINT (-78.12220000000001 35.4222)
841,2448,Wayne,1,Bruce Howell Farm,2698,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,2269296,-78.0325,35.4219,POINT (-78.0325 35.4219)
1046,5760,Wayne,1,EMS Hog Farms Inc,5105,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,5339520,-77.8744,35.4233,POINT (-77.87439999999999 35.4233)
979,2880,Wayne,1,Toby Roberts Farm,2727,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,2669760,-77.8492,35.4278,POINT (-77.8492 35.4278)
1472,2169,Greene,1,Pine Ridge Farm,4720,Swine - Farrow to Wean,NC Dept. of Environmental Quality,Active,6947307,-77.5817,35.4011,POINT (-77.5817 35.4011)
811,5025,Greene,6,Moye Farm,19846,Swine - Farrow to Wean,NC Dept. of Environmental Quality,Active,16095075,-77.5469,35.4247,POINT (-77.54689999999999 35.4247)
1382,5746,Greene,2,Little Creek Hog Farm,3226,Swine - Wean to Finish,NC Dept. of Environmental Quality,Active,4458896,-77.5011,35.4347,POINT (-77.50109999999999 35.4347)
439,3840,Pitt,1,Dick Mills and Son Farm,8109,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,3559680,-77.3574,35.4213,POINT (-77.3574 35.4213)
921,987,Johnston,1,T & S Denning Farm,993,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,914949,-78.5767,35.4043,POINT (-78.5767 35.4043)
732,2940,Johnston,1,Carol J. Lee Farm,3723,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,2725380,-78.4222,35.4042,POINT (-78.4222 35.4042)
526,2940,Johnston,1,Terry Barefoot Farm,5181,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,2725380,-78.3749,35.3919,POINT (-78.3749 35.3919)
608,2880,Johnston,1,Owen Kornegay Farm,4391,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,2669760,-78.1769,35.3894,POINT (-78.1769 35.3894)
914,5760,Wayne,1,Bryant Worley Farm,5842,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,5339520,-78.1278,35.4139,POINT (-78.12779999999999 35.4139)
1402,2880,Wayne,1,Chris Creech Farm,1904,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,2669760,-77.8233,35.42,POINT (-77.8233 35.42)
1145,7200,Greene,1,Mr. Gordon's Farm,5829,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,6674400,-77.8058,35.4125,POINT (-77.8058 35.4125)
1260,6000,Greene,1,Ham Town Farm,4414,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,5562000,-77.7681,35.4225,POINT (-77.7681 35.4225)
726,1500,Greene,2,Pork Company Farm,1915,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,1390500,-77.6577,35.3921,POINT (-77.65770000000001 35.3921)
726,11225,Pitt,5,Cullen Glenn Haddock Farm,14333,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,10405575,-77.3506,35.3994,POINT (-77.3506 35.3994)
928,3552,Johnston,2,Rickie Norris Farm,731,Swine - Wean to Feeder,NC Dept. of Environmental Quality,Active,678432,-78.4698,35.3722,POINT (-78.46980000000001 35.3722)
796,2880,Johnston,2,J&M Hog Farm Inc,3354,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,2669760,-78.4156,35.3775,POINT (-78.4156 35.3775)
744,100,Wayne,1,Cherry Resreach Farm,1408,Swine - Farrow to Finish,NC Dept. of Environmental Quality,Active,1047800,-78.0311,35.3769,POINT (-78.0311 35.3769)
1422,2880,Wayne,1,Roland Gray Farm,1877,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,2669760,-77.8714,35.3883,POINT (-77.87139999999999 35.3883)
897,4896,Wayne,1,W&M Hog Farm,5060,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,4538592,-77.8278,35.3825,POINT (-77.8278 35.3825)
1338,2448,Greene,1,Warters Isolation,1696,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,2269296,-77.7906,35.3903,POINT (-77.7906 35.3903)
1026,3000,Greene,1,Gary Askew Swine Farm,2711,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,2781000,-77.7387,35.3936,POINT (-77.73869999999999 35.3936)
1084,2550,Greene,1,Roger Johnson Swine Farm,2181,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,2363850,-77.7319,35.3847,POINT (-77.7319 35.3847)
832,3672,Greene,1,S & K Farms Inc,4091,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,3403944,-77.6747,35.3847,POINT (-77.6747 35.3847)
1363,4200,Greene,1,Hardy Swine Farm,2856,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,3893400,-77.6311,35.3856,POINT (-77.6311 35.3856)
857,7344,Lenoir,2,"Hugo Farms, LLC Farm",7944,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,6807888,-77.4993,35.3602,POINT (-77.49930000000001 35.3602)
705,1760,Johnston,1,"Wood Farms, Inc.",2314,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,1631520,-78.4375,35.3541,POINT (-78.4375 35.3541)
711,2480,Johnston,1,Roger D. Allen Farm,3233,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,2298960,-78.3857,35.3643,POINT (-78.3857 35.3643)
634,1600,Johnston,2,Sandy Ridge Pork,8083,Swine - Farrow to Wean,NC Dept. of Environmental Quality,Active,5124800,-78.3422,35.3533,POINT (-78.34220000000001 35.3533)
735,5320,Johnston,1,Creekside Farms,6710,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,4931640,-78.3206,35.3683,POINT (-78.3206 35.3683)
597,2000,Johnston,2,J.L.M. Farms LLC,10730,Swine - Farrow to Wean,NC Dept. of Environmental Quality,Active,6406000,-78.2397,35.3386,POINT (-78.2397 35.3386)
725,350,Wayne,2,Boarhead AI-Lab & Isolation,1864,Swine - Boar/Stud,NC Dept. of Environmental Quality,Active,1351350,-77.8778,35.3556,POINT (-77.87779999999999 35.3556)
1453,2880,Wayne,1,Kim Gray Farm,1837,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,2669760,-77.8719,35.3842,POINT (-77.8719 35.3842)
1441,5760,Wayne,1,William Earl Cruse Farm,3705,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,5339520,-77.8333,35.37,POINT (-77.83329999999999 35.37)
1005,4896,Greene,1,Hope Farms,4516,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,4538592,-77.7648,35.3847,POINT (-77.76479999999999 35.3847)
1003,120,Lenoir,1,George Hill Farm,1254,Swine - Farrow to Finish,NC Dept. of Environmental Quality,Active,1257360,-77.7191,35.3734,POINT (-77.7191 35.3734)
748,4923,Greene,2,Billy Dail Swine Farm,6101,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,4563621,-77.6625,35.3758,POINT (-77.66249999999999 35.3758)
1246,4000,Greene,1,Henry Heath Farms,2976,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,3708000,-77.5884,35.3789,POINT (-77.58839999999999 35.3789)
1185,5280,Greene,2,Jesse Oakes Nursery 1 & 2,851,Swine - Wean to Feeder,NC Dept. of Environmental Quality,Active,1008480,-77.5739,35.3839,POINT (-77.57389999999999 35.3839)
1102,2412,Johnston,1,Dismal Farms,2029,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,2235924,-78.4932,35.3374,POINT (-78.4932 35.3374)
388,4410,Johnston,2,Dennis Raynor,10536,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,4088070,-78.2886,35.3472,POINT (-78.2886 35.3472)
597,160,Johnston,2,J.L.M. Farms LLC,1035,Swine - Gilts,NC Dept. of Environmental Quality,Active,617760,-78.2397,35.3386,POINT (-78.2397 35.3386)
970,7350,Wayne,1,Donnie Peedin Farm,7024,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,6813450,-78.1581,35.3347,POINT (-78.1581 35.3347)
807,4200,Wayne,1,"GLG Farms, LLC Farm",4825,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,3893400,-78.1328,35.3447,POINT (-78.1328 35.3447)
824,752,Wayne,1,Craig Farms,2923,Swine - Farrow to Wean,NC Dept. of Environmental Quality,Active,2408656,-78.1169,35.3489,POINT (-78.1169 35.3489)
681,2448,Wayne,1,Vance Perkins Farms,3332,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,2269296,-78.1042,35.3467,POINT (-78.10420000000001 35.3467)
903,5760,Wayne,1,Ham Farm,5913,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,5339520,-77.966,35.3215,POINT (-77.96599999999999 35.3215)
606,4800,Wayne,1,Jet Nursery,1513,Swine - Wean to Feeder,NC Dept. of Environmental Quality,Active,916800,-77.9561,35.3376,POINT (-77.95610000000001 35.3376)
451,2400,Craven,1,Alum Springs L.L.C.,17045,Swine - Farrow to Wean,NC Dept. of Environmental Quality,Active,7687200,-77.3932,35.3325,POINT (-77.39319999999999 35.3325)
640,8700,Johnston,1,ADJ Nursery #3,2596,Swine - Wean to Feeder,NC Dept. of Environmental Quality,Active,1661700,-78.4264,35.3264,POINT (-78.4264 35.3264)
576,1040,Johnston,3,Harold W. Lee & Sons,18919,Swine - Farrow to Finish,NC Dept. of Environmental Quality,Active,10897120,-78.3811,35.3497,POINT (-78.3811 35.3497)
878,2012,Johnston,2,Battlefield Sow Farm,7340,Swine - Farrow to Wean,NC Dept. of Environmental Quality,Active,6444436,-78.3055,35.3289,POINT (-78.30549999999999 35.3289)
1007,2350,Wayne,2,Max & Theresa Futrell,2163,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,2178450,-78.1931,35.3283,POINT (-78.1931 35.3283)
789,1240,Wayne,1,George Grantham Farm,1457,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,1149480,-78.1406,35.3444,POINT (-78.14060000000001 35.3444)
472,2400,Wayne,1,Craig Farm #3,16286,Swine - Farrow to Wean,NC Dept. of Environmental Quality,Active,7687200,-78.1017,35.3192,POINT (-78.10169999999999 35.3192)
829,2000,Wayne,2,Piggybank Sow,7727,Swine - Farrow to Wean,NC Dept. of Environmental Quality,Active,6406000,-78.0907,35.3105,POINT (-78.0907 35.3105)
816,600,Wayne,1,Elroy Farm,2355,Swine - Farrow to Wean,NC Dept. of Environmental Quality,Active,1921800,-77.9011,35.3272,POINT (-77.9011 35.3272)
1316,11520,Wayne,2,Dairy Swine Farm #1 & #2,8115,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,10679040,-77.83,35.3497,POINT (-77.83 35.3497)
1116,525,Lenoir,2,Wayne Rouse & Doug Hill Farm,1816,Swine - Gilts,NC Dept. of Environmental Quality,Active,2027025,-77.772,35.3201,POINT (-77.77200000000001 35.3201)
932,300,Lenoir,1,Dail Hog Farm,1243,Swine - Farrow to Feeder,NC Dept. of Environmental Quality,Active,1158300,-77.6976,35.3314,POINT (-77.69759999999999 35.3314)
927,1224,Lenoir,2,R. & G. Farm,1224,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,1134648,-77.4509,35.3178,POINT (-77.4509 35.3178)
804,6120,Johnston,4,Lee Brothers Farm,7056,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,5673240,-78.4361,35.2958,POINT (-78.4361 35.2958)
698,3200,Johnston,1,R & T Eldridge Farms,876,Swine - Wean to Feeder,NC Dept. of Environmental Quality,Active,611200,-78.3939,35.2995,POINT (-78.3939 35.2995)
476,3840,Johnston,1,Thornton Brothers 105,1541,Swine - Wean to Feeder,NC Dept. of Environmental Quality,Active,733440,-78.3469,35.3067,POINT (-78.34690000000001 35.3067)
985,5760,Wayne,1,Ralph Weaver Hog Farms,5421,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,5339520,-78.1436,35.3294,POINT (-78.14360000000001 35.3294)
746,11520,Wayne,3,"P&D Farms, Inc.- Wayne Mills Finishing",14315,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,10679040,-78.0678,35.3064,POINT (-78.06780000000001 35.3064)
909,2880,Wayne,1,Uzzell Swine Farm,2937,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,2669760,-77.8456,35.3289,POINT (-77.8456 35.3289)
1140,5760,Wayne,1,Roy G. Nation Swine Farm,4684,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,5339520,-77.8389,35.2883,POINT (-77.8389 35.2883)
741,2880,Lenoir,1,Triple H Farm,3603,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,2669760,-77.469,35.3133,POINT (-77.46899999999999 35.3133)
768,4896,Craven,1,"Faison Smith Farms, Inc. #2",5910,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,4538592,-77.4225,35.3163,POINT (-77.4225 35.3163)
1265,2000,Sampson,1,Savannah Hill Farms,5064,Swine - Farrow to Wean,NC Dept. of Environmental Quality,Active,6406000,-78.5423,35.2751,POINT (-78.5423 35.2751)
804,4108,Johnston,4,Lee Brothers Farm,976,Swine - Wean to Feeder,NC Dept. of Environmental Quality,Active,784628,-78.4361,35.2958,POINT (-78.4361 35.2958)
816,4000,Johnston,1,Thornton Brothers,936,Swine - Wean to Feeder,NC Dept. of Environmental Quality,Active,764000,-78.3033,35.2989,POINT (-78.30329999999999 35.2989)
1070,4320,Wayne,1,"Matthew Sanderson Farming, LLC",3743,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,4004640,-78.2783,35.3078,POINT (-78.2783 35.3078)
979,12240,Wayne,3,Weaver Farm sites 1-3,11590,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,11346480,-78.2569,35.3208,POINT (-78.2569 35.3208)
735,2880,Wayne,1,Grantham Farms 2,3632,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,2669760,-78.2244,35.3133,POINT (-78.2244 35.3133)
1010,5760,Wayne,1,Grantham Farms,5287,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,5339520,-78.2089,35.3078,POINT (-78.2089 35.3078)
1085,5760,Wayne,1,Leonard Smith Farm,4921,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,5339520,-78.1381,35.2994,POINT (-78.13809999999999 35.2994)
751,6120,Wayne,2,Wake-Kyle Farm,7554,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,5673240,-78.1343,35.3255,POINT (-78.1343 35.3255)
313,4160,Wayne,2,Squirrel Ridge Sow,42570,Swine - Farrow to Wean,NC Dept. of Environmental Quality,Active,13324480,-77.9583,35.2756,POINT (-77.95829999999999 35.2756)
650,3200,Wayne,1,Ronnie Lee Dawson Farm,940,Swine - Wean to Feeder,NC Dept. of Environmental Quality,Active,611200,-77.9025,35.2958,POINT (-77.9025 35.2958)
1223,1440,Wayne,1,William Britt Farm,1091,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,1334880,-77.8436,35.3017,POINT (-77.8436 35.3017)
395,2960,Craven,1,Steve Sanders Farm,1431,Swine - Wean to Feeder,NC Dept. of Environmental Quality,Active,565360,-77.4069,35.288,POINT (-77.40689999999999 35.288)
798,820,Craven,4,Pig Paradise,3291,Swine - Farrow to Wean,NC Dept. of Environmental Quality,Active,2626460,-77.3851,35.2872,POINT (-77.38509999999999 35.2872)
1090,4320,Craven,1,"Sutton Family Farm, LLC",3674,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,4004640,-77.3628,35.2854,POINT (-77.36279999999999 35.2854)
641,2940,Johnston,1,CC&B Johnson Farm,4252,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,2725380,-78.3833,35.2869,POINT (-78.38330000000001 35.2869)
535,2416,Johnston,1,David G. Herring Swine Farm,4186,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,2239632,-78.3661,35.2925,POINT (-78.3661 35.2925)
963,2480,Johnston,1,Sammy Britt Farm houses 7-10,2387,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,2298960,-78.3153,35.2925,POINT (-78.31529999999999 35.2925)
752,2448,Wayne,1,J&C Farm,3018,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,2269296,-78.2898,35.2825,POINT (-78.2898 35.2825)
663,1200,Wayne,1,D.O. Bryan Farm,1678,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,1112400,-78.2519,35.2828,POINT (-78.25190000000001 35.2828)
636,2448,Wayne,1,Shelton Keene  Farm 2,3568,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,2269296,-78.2297,35.2833,POINT (-78.22969999999999 35.2833)
761,5880,Wayne,2,Double T Farms,7163,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,5450760,-78.1717,35.2714,POINT (-78.1717 35.2714)
748,7500,Wayne,3,Overman Farm Inc.,9295,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,6952500,-78.1031,35.2997,POINT (-78.1031 35.2997)
762,1440,Wayne,1,Gray Outlaw Farm,1752,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,1334880,-78.0258,35.2783,POINT (-78.0258 35.2783)
463,1400,Wayne,3,Herring Farm,2803,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,1297800,-77.9186,35.2783,POINT (-77.9186 35.2783)
450,4896,Lenoir,1,Woody Sutton Farm #2,10086,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,4538592,-77.4606,35.2765,POINT (-77.4606 35.2765)
750,2700,Harnett,1,Weeks Farms Inc,3337,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,2502900,-78.6082,35.2564,POINT (-78.6082 35.2564)
826,620,Sampson,1,Mark Barefoot,696,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,574740,-78.4807,35.259,POINT (-78.4807 35.259)
1089,4600,Sampson,1,Phillip Williams Farm,3916,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,4264200,-78.4055,35.251,POINT (-78.4055 35.251)
1066,5536,Johnston,2,Jeffrey Thornton Farm,992,Swine - Wean to Feeder,NC Dept. of Environmental Quality,Active,1057376,-78.3742,35.2722,POINT (-78.3742 35.2722)
1118,2600,Johnston,1,TDM Farm 29 (W.T. Herring 100 ac. Site),7449,Swine - Farrow to Wean,NC Dept. of Environmental Quality,Active,8327800,-78.34,35.2814,POINT (-78.34 35.2814)
647,2880,Wayne,1,John Dunn Farm,4126,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,2669760,-78.2953,35.271,POINT (-78.2953 35.271)
712,3672,Wayne,1,JM Massey Farm,4781,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,3403944,-78.29,35.2778,POINT (-78.29000000000001 35.2778)
669,5760,Wayne,1,Sandy Ridge Farm,7981,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,5339520,-78.2533,35.2767,POINT (-78.2533 35.2767)
750,4896,Wayne,2,Gerald Hollamon Farm,6051,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,4538592,-78.1369,35.2733,POINT (-78.1369 35.2733)
594,4896,Wayne,1,Norwood Head Farm,7641,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,4538592,-78.1078,35.2703,POINT (-78.1078 35.2703)
1004,4280,Wayne,3,Dexter Jackson 21-26,3952,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,3967560,-78.0786,35.2478,POINT (-78.07859999999999 35.2478)
350,5600,Wayne,1,Roberts Nursery,3056,Swine - Wean to Feeder,NC Dept. of Environmental Quality,Active,1069600,-78.0006,35.2569,POINT (-78.00060000000001 35.2569)
579,2000,Wayne,2,Collie Sow Farm,11064,Swine - Farrow to Wean,NC Dept. of Environmental Quality,Active,6406000,-77.9116,35.2352,POINT (-77.91160000000001 35.2352)
784,11440,Lenoir,3,"Wiggins Hog Farm, Inc.",13527,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,10604880,-77.8236,35.2762,POINT (-77.8236 35.2762)
1218,7344,Lenoir,2,Wood Farm,5589,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,6807888,-77.7957,35.2459,POINT (-77.7957 35.2459)
1468,650,Lenoir,2,Thomas Sutton Farm,410,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,602550,-77.7577,35.2442,POINT (-77.7577 35.2442)
636,1600,Cumberland,1,"Spring Meadow Farm of Cumberland Co., LLC",8058,Swine - Farrow to Wean,NC Dept. of Environmental Quality,Active,5124800,-78.6979,35.2204,POINT (-78.6979 35.2204)
680,3960,Sampson,2,Eason Farm Inc,5398,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Expired,3670920,-78.5333,35.2416,POINT (-78.5333 35.2416)
932,2448,Sampson,1,Ronald Wooten Farm,2435,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,2269296,-78.4615,35.2521,POINT (-78.4615 35.2521)
642,2000,Sampson,2,Pork Chop Hill Farm,9978,Swine - Farrow to Wean,NC Dept. of Environmental Quality,Active,6406000,-78.3587,35.2182,POINT (-78.3587 35.2182)
1218,10378,Sampson,5,Warren Swine Farms (King Farm),6612,Swine - Wean to Finish,NC Dept. of Environmental Quality,Active,8053328,-78.3234,35.2329,POINT (-78.32340000000001 35.2329)
1258,3040,Sampson,1,Minnie Edwards Farm,462,Swine - Wean to Feeder,NC Dept. of Environmental Quality,Active,580640,-78.2914,35.2403,POINT (-78.2914 35.2403)
1274,5280,Wayne,2,Arrowhead Farms,792,Swine - Wean to Feeder,NC Dept. of Environmental Quality,Active,1008480,-78.217,35.2328,POINT (-78.217 35.2328)
790,1200,Wayne,1,Archer Farms,4865,Swine - Farrow to Wean,NC Dept. of Environmental Quality,Active,3843600,-78.1819,35.2403,POINT (-78.1819 35.2403)
774,4180,Wayne,2,Tommy Grantham Farm,5006,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,3874860,-78.1297,35.2492,POINT (-78.1297 35.2492)
904,1240,Wayne,2,Bobby Grady Farm,1272,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,1149480,-78.0486,35.2403,POINT (-78.04859999999999 35.2403)
465,2080,Wayne,3,Eagles Nest Sow,14327,Swine - Farrow to Wean,NC Dept. of Environmental Quality,Active,6662240,-77.9844,35.2417,POINT (-77.98439999999999 35.2417)
465,125,Wayne,3,Eagles Nest Sow,1038,Swine - Gilts,NC Dept. of Environmental Quality,Active,482625,-77.9844,35.2417,POINT (-77.98439999999999 35.2417)
338,4000,Wayne,3,Sasser Sow Farm,37905,Swine - Farrow to Wean,NC Dept. of Environmental Quality,Active,12812000,-77.9347,35.2576,POINT (-77.93470000000001 35.2576)
338,320,Wayne,3,Sasser Sow Farm,3655,Swine - Gilts,NC Dept. of Environmental Quality,Active,1235520,-77.9347,35.2576,POINT (-77.93470000000001 35.2576)
1280,100,Wayne,2,Sutton Bros Inc,819,Swine - Farrow to Finish,NC Dept. of Environmental Quality,Active,1047800,-77.8507,35.2467,POINT (-77.8507 35.2467)
1429,7200,Lenoir,1,Razorback Farms LLC,4671,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,6674400,-77.8226,35.255,POINT (-77.82259999999999 35.255)
758,1200,Lenoir,1,William Davis Farm,1468,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,1112400,-77.6573,35.2279,POINT (-77.65730000000001 35.2279)
510,7680,Craven,2,Cedar Springs Farm,2876,Swine - Wean to Feeder,NC Dept. of Environmental Quality,Active,1466880,-77.4488,35.2285,POINT (-77.44880000000001 35.2285)
960,3840,Sampson,1,Weeks Farm Inc.,3708,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,3559680,-78.6165,35.2227,POINT (-78.6165 35.2227)
1124,16794,Sampson,7,J&W Swine Co Inc,13851,Swine - Feeder to Finish,NC Dept. of Environmental Quality,Active,15568038,-78.5757,35.1861,POINT (-78.5757 35.1861)
